Starting server on port 37475
 * Serving Flask app 'system_monitor_rev0.4'
 * Debug mode: off
Starting monitoring with file: thermal_cpu_mem_gpu_wifi.log for client IP: 10.88.89.75
<generator object read_data_from_file at 0x7e8b87368740>
{'elapsed_time': '10:34', 'cpu_usage': 61.5, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.7, 'rx_receiver_throughput': 66.9}
{'elapsed_time': '10:51', 'cpu_usage': 56.5, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.2, 'rx_receiver_throughput': 66.2}
{'elapsed_time': '11:09', 'cpu_usage': 56.1, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 71.0, 'rx_receiver_throughput': 69.3}
{'elapsed_time': '11:27', 'cpu_usage': 54.2, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.2, 'rx_receiver_throughput': 66.4}
{'elapsed_time': '11:45', 'cpu_usage': 57.7, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 69.5, 'rx_receiver_throughput': 67.6}
{'elapsed_time': '12:02', 'cpu_usage': 56.7, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 69.7, 'rx_receiver_throughput': 67.8}
{'elapsed_time': '12:20', 'cpu_usage': 59.4, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 70.3, 'rx_receiver_throughput': 68.2}
{'elapsed_time': '12:38', 'cpu_usage': 60.3, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.5, 'rx_receiver_throughput': 66.6}
{'elapsed_time': '12:56', 'cpu_usage': 63.2, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 66.6, 'rx_receiver_throughput': 64.9}
{'elapsed_time': '13:14', 'cpu_usage': 63.4, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 55.9, 'rx_receiver_throughput': 54.4}
{'elapsed_time': '13:31', 'cpu_usage': 54.2, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 57.4, 'rx_receiver_throughput': 55.7}
{'elapsed_time': '13:49', 'cpu_usage': 61.4, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 70.3, 'rx_receiver_throughput': 68.6}
{'elapsed_time': '14:07', 'cpu_usage': 57.4, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 71.8, 'rx_receiver_throughput': 69.8}
{'elapsed_time': '14:25', 'cpu_usage': 56.3, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 67.2, 'rx_receiver_throughput': 65.4}
{'elapsed_time': '14:42', 'cpu_usage': 60.7, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 67.2, 'rx_receiver_throughput': 65.5}
{'elapsed_time': '15:00', 'cpu_usage': 58.7, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 68.4, 'rx_receiver_throughput': 66.6}
{'elapsed_time': '15:18', 'cpu_usage': 57.2, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 67.6, 'rx_receiver_throughput': 66.1}
{'elapsed_time': '15:35', 'cpu_usage': 63.9, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 70.3, 'rx_receiver_throughput': 68.4}
{'elapsed_time': '15:53', 'cpu_usage': 63.5, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 69.3, 'rx_receiver_throughput': 67.5}
{'elapsed_time': '16:11', 'cpu_usage': 52.8, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 70.3, 'rx_receiver_throughput': 68.7}
{'elapsed_time': '16:28', 'cpu_usage': 60.0, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 71.4, 'rx_receiver_throughput': 69.4}
{'elapsed_time': '16:46', 'cpu_usage': 54.6, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 72.0, 'rx_receiver_throughput': 70.4}
{'elapsed_time': '17:04', 'cpu_usage': 52.8, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 69.3, 'rx_receiver_throughput': 67.4}
{'elapsed_time': '17:22', 'cpu_usage': 65.2, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 70.1, 'rx_receiver_throughput': 68.4}
{'elapsed_time': '17:39', 'cpu_usage': 53.7, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 67.8, 'rx_receiver_throughput': 66.5}
{'elapsed_time': '17:57', 'cpu_usage': 56.2, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.7, 'rx_receiver_throughput': 67.0}
{'elapsed_time': '18:15', 'cpu_usage': 57.2, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 69.5, 'rx_receiver_throughput': 68.0}
{'elapsed_time': '18:32', 'cpu_usage': 62.3, 'temperature': 48, 'memory_test_failure': 0, 'tx_sender_throughput': 70.1, 'rx_receiver_throughput': 68.3}
{'elapsed_time': '18:50', 'cpu_usage': 59.3, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 68.4, 'rx_receiver_throughput': 66.8}
{'elapsed_time': '19:08', 'cpu_usage': 62.1, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 67.8, 'rx_receiver_throughput': 66.2}
{'elapsed_time': '19:26', 'cpu_usage': 66.4, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 68.4, 'rx_receiver_throughput': 66.6}
{'elapsed_time': '19:43', 'cpu_usage': 49.8, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 70.3, 'rx_receiver_throughput': 68.4}
{'elapsed_time': '20:01', 'cpu_usage': 61.5, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 70.3, 'rx_receiver_throughput': 68.6}
{'elapsed_time': '20:19', 'cpu_usage': 56.1, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 71.4, 'rx_receiver_throughput': 69.6}
{'elapsed_time': '20:37', 'cpu_usage': 56.0, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 70.8, 'rx_receiver_throughput': 68.8}
{'elapsed_time': '20:54', 'cpu_usage': 56.9, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 69.9, 'rx_receiver_throughput': 68.1}
{'elapsed_time': '21:12', 'cpu_usage': 57.5, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 67.2, 'rx_receiver_throughput': 65.5}
{'elapsed_time': '21:30', 'cpu_usage': 64.2, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 70.8, 'rx_receiver_throughput': 69.0}
{'elapsed_time': '21:47', 'cpu_usage': 58.5, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 65.3, 'rx_receiver_throughput': 63.6}
{'elapsed_time': '22:05', 'cpu_usage': 55.3, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 70.8, 'rx_receiver_throughput': 69.0}
{'elapsed_time': '22:23', 'cpu_usage': 55.8, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 66.8, 'rx_receiver_throughput': 64.7}
{'elapsed_time': '22:41', 'cpu_usage': 64.4, 'temperature': 48, 'memory_test_failure': 0, 'tx_sender_throughput': 66.2, 'rx_receiver_throughput': 64.6}
{'elapsed_time': '22:58', 'cpu_usage': 57.1, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 66.2, 'rx_receiver_throughput': 64.2}
{'elapsed_time': '23:16', 'cpu_usage': 57.5, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.0, 'rx_receiver_throughput': 65.8}
{'elapsed_time': '23:34', 'cpu_usage': 62.5, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 64.9, 'rx_receiver_throughput': 62.9}
{'elapsed_time': '23:52', 'cpu_usage': 58.3, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 56.6, 'rx_receiver_throughput': 55.0}
{'elapsed_time': '24:10', 'cpu_usage': 53.3, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 60.3, 'rx_receiver_throughput': 58.6}
{'elapsed_time': '24:28', 'cpu_usage': 59.9, 'temperature': 48, 'memory_test_failure': 0, 'tx_sender_throughput': 66.8, 'rx_receiver_throughput': 65.4}
{'elapsed_time': '24:45', 'cpu_usage': 58.2, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.7, 'rx_receiver_throughput': 67.3}
{'elapsed_time': '25:03', 'cpu_usage': 59.4, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 70.7, 'rx_receiver_throughput': 68.6}
{'elapsed_time': '25:21', 'cpu_usage': 59.7, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 68.0, 'rx_receiver_throughput': 66.2}
{'elapsed_time': '25:39', 'cpu_usage': 58.6, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 63.7, 'rx_receiver_throughput': 61.9}
{'elapsed_time': '25:56', 'cpu_usage': 60.1, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 64.7, 'rx_receiver_throughput': 63.1}
{'elapsed_time': '26:14', 'cpu_usage': 54.5, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 69.5, 'rx_receiver_throughput': 67.9}
{'elapsed_time': '26:32', 'cpu_usage': 53.6, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.7, 'rx_receiver_throughput': 66.9}
